doc_id,speech
11,"The answer is the 'blue card' procedure.  It was also EU Commissioner Cañete who hailed the Paris Agreement as a great success. The Commission has already made a number of proposals to the Council, and I am sure that the Council will be able to accept them. And then, when we talk about the automotive industry, we talk about climate technologies that are available. This is where we have the technology, where we also have to advocate innovation and not systematically inhibit innovation."
12,"For the GUE/NGL group  Mr President, ladies and gentlemen, I fully support the position of the Committee on Energy, Research and Technology. The Commission has already taken a number of measures to ensure that the Community's transport policy is not disrupted by the introduction of new technologies. We cannot give the car industry any leeway unless we want to piss in our own, or our children's or our grandchildren's, crumbs in climate policy. The opening up of the car industry led to the diesel scandal, so we must now give the car industry a beating so that the new processes really move forward. If we want to save hundreds of millions of euros in European health care, we have to push this legislation forward. The money we save can also be used to innovate in the areas of climate, environment and health, which will also create new jobs that are badly needed here. I dare say that climate change pioneers will also create more of the much-needed new jobs back home than those who resist all the time."
13,"on behalf of the EFDD Group. Mr President, ladies and gentlemen, tomorrow's vote is historic. Our choices will shape the future of road transport, which is called upon to play its part in combating climate change and implementing the Paris Agreement. But not only that, tomorrow we will have to decide what kind of car industry we want in Europe, in our own country, if we continue to stick to the fossil fuel dogma and import clean technologies and propulsion systems from third countries, I am thinking in particular of China where, ironically, the same European manufacturers are investing many billions more than in Europe. Or if we want to help the automotive sector in the transition to zero-emission mobility, which is already being called for by European citizens and businesses who complain about the lack of clean models on the market. I would like to conclude by reminding you that in order to reap the social benefits of efficient vehicles, including cleaner air and increased employment opportunities in the green economy, we must preserve the balance we have found in the Environment Committee. The Five Star Movement is on the side of ambition."
14,"on behalf of the ENF Group.  Mr President, ladies and gentlemen, it is right to aim at an ambitious plan for reducing CO2 emissions from the transport sector, but such a plan must have realistic objectives and not result in increased costs for European businesses and citizens. The current proposed targets force the market towards the electric-only option. The electric car is not a bad choice in itself, but the market and the technology are not ready. We need a major adaptation of the electricity grid, the creation of many charging points, alternative solutions for the production and disposal of batteries which are more efficient and possibly in Europe and not across the border, as is happening at the moment. The Commission also found that the average price of electric cars in the Union market was higher than the average price of electric cars in the Union market. Micro, small and medium-sized enterprises also need more flexibility to implement the new targets. We must not forget that light commercial vehicles are mainly used by those companies which have already been tested by years of crisis and cannot always afford to invest in the latest generation of vehicles. What is the environmental value of the electric car if part of the energy used to power it in Europe itself is still produced by coal-fired power stations? A strategy is needed which safeguards the principle of technological neutrality and keeps the way open to a right mix of technologies which can really contribute to the reduction of CO2 emissions and to a calculation system which takes account not only of the CO2 emitted by the vehicle but also of the overall life cycle balance of the vehicle."
15,"Mr President, I think we all agree that we need to reduce emissions as quickly as possible. We must be very careful, however, lest trying to fix a problem which we ourselves have created, end up in an even worse situation. I see there's a lot of support for electric cars. Have we really considered what it would mean to actually have all the cars on the road today, and especially the trucks, replaced by electric by 2050? Have we calculated the enormous amounts of electricity that would be required if this change were to occur? How will these amounts of electricity be generated? I am sure that the Commission will be able to support the amendments tabled by the rapporteur, Mr von Wogau, and that the Commission will be able to support the amendments tabled by Mr von Wogau. Many countries today are facing energy shortages. So it is reasonable to assume that the situation will get even worse in the future. Will the emissions from cars eventually be replaced by the emissions from the factories that produce electricity? In conclusion, we clearly need to work even more towards reducing emissions. But this should be done after careful and objective studies, so as to minimise the risks that may arise. The Commission has also proposed that the Council should adopt a decision on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the agreement on the conclusion of the agreement on the conclusion of the agreement on the conclusion of the agreement on the agreement on the conclusion of the agreement on the agreement on the conclusion of the agreement on the agreement on the conclusion of the agreement on the agreement on the conclusion of the agreement."
16,"Mr President, ladies and gentlemen, I would like to thank you for your report. It's about driving, and I'm all for giving it a go. Give it a go on innovation and give it a go on climate change. I am against the idea that we are over-promoting this debate. Because if we look at where we're coming from, we're gonna have to take a little bit of gas off. We had extreme positions at the table. Mrs Harms, you said that 80% was never mentioned, but your group has already contributed 75%. That's not that far off from 80%, so not really. We have had the proposals of Miriam Dalli: 50%. We have the committee's proposal of 45%. And then the independent analysis of the European Commission, which I very much appreciate, says: we will then have job losses in Europe and losses for the economy. It is therefore good that we are now moving towards a new level of cooperation and that many groups are no longer supporting the 45%. I would also like to ask that we look again at the amendments tabled by the Committee on the Environment on Malus. The Commission's analysis shows that this again represents a burden of some 5% more. I would therefore be grateful if the committee's proposal does not pass the 40% benchmark. This is an additional tightening, and it's not technology neutral. So it would be good if we corrected that tomorrow as well. The Commission has calculated that this is the contribution of the car industry  if we accept the Commission's proposal  to reach our 40% target. We can discuss other figures, and we are prepared to go higher as the EPP. But I would like to say again - and Mrs Harms did not answer that - that the debate on doing more than what was decided in Paris is not being held in any other part of the world. And that is why we should not criticise our Commissioner, but he is travelling around the world and is initiating this debate in other countries for the first time. For that, we should support Miguel Arias Cañete and not criticize him. Thank you, Miguel, for doing this. (The speaker agrees to answer a question under the 'blue card' procedure under Rule 162 (8) of the Rules of Procedure)"
17,"Question No 3 by Mr Pimenta Subject: The amendments tabled by your group are designed to weaken the already very weak reduction target for conventional engines for 2030 by means of bonus and fee systems and credit systems, so that in our estimation conventional engines could be worse and more harmful to the climate in 2030 than they are today in 2018, on the basis of your proposals. They call that giving gas in climate protection?"
18,"Answer to a question on the 'blue card' procedure. So first of all, we have raised the target to 35%. That's something to consider. And we do not want to water down the proposal, but we want to support innovation - just as I said. The Malus is not included in the Commission proposal. That is why we do not want to see him in the final text. It's not technology neutral. The other proposals are also aimed at promoting the transitional plug-in hybrid technology. The Commission has already taken a number of measures to ensure that the European Union's energy policy is not undermined by the fact that it is not able to meet the needs of the people of Europe. That's the point."
19,"Mr President, ladies and gentlemen, we all agree that we must set our targets so that the Union can meet its commitments to reduce greenhouse gas emissions. At the same time, it is important to enable and create the framework for European industry to innovate and maintain its place as a world leader in this field. But we must first of all take account of the social aspect, so that this process does not negatively influence employment, and the goals and objectives we set ourselves must be realistic and, at the same time, reflect the real technological and development aspects. The proposals to reduce carbon dioxide emissions by imposing targets on car manufacturers are indeed ambitious, but the question is: are they realistic? Because we also have to consider how the market relates to the changes we impose, to the purchasing power of the citizens of the European Union, but we also have to not ignore infrastructure. I believe that the Commission's proposal to reduce carbon dioxide emissions - which is an ambitious one - can be improved so that we can achieve the environmental objectives on the one hand and see the negative impact on the car industry and reduce it on the other."
20,"Mr President, the automotive sector is undoubtedly the driving force behind European industry. That is why I am very concerned about the objectives proposed, which are very aggressive in their ambitions to enter the car market. They leave the customer's decision aside and dictate to the manufacturers how much they have to sell under sanctions and what the product should look like. They set beautiful goals, but they don't think about how to make sure that there's enough electricity to meet the needs of these cars. At the same time, there is no major technological change in the storage of sufficient electricity, including really fast charging. The solution is not the violent political gestures that we have had in our negative historical experience. It would be more sensible to give a huge boost to research and development in this area. The only thing that can bring about a fundamental change are new technologies and innovations in transport. All the revolutionary technological inventions we use today have been gradually promoted on the free market. They became successful in the marketplace when not only the customers but also the whole society was ready for them. If the European Union wants to skip all this, it means that we are going the wrong way in a politically driven market, against free competition in an open competitive environment."
21,"Mr President, in essence, this debate is about a question: what kind of car will the future consumer prefer? Will it be the high CO2- and NOx—emitting combustion engine vehicle with quite high maintenance costs and very high fuel costs, or a zero—emission car with almost no maintenance costs and very low fuel costs, if any? I think we all know the answer: the good old combustion—engine car that served us so well for 130 years is ready for its well-deserved retirement. That also means that if in Europe we want to build tomorrow’s car, we have to develop it much more quickly than we are doing now. Market forces as we have seen are not sufficient, so the legislator should help. Therefore, highly ambitious CO2 targets are essential for the survival of the European car industry, and that we get climate and clean air for free with that is a wonderful side effect."
22,"Mr President, fascinating debate. Maybe just that everyone is aware, as we speak here in the plenary, in Korea people are discussing a report that will be published next week on 1.5 degrees. It will be very clear that our entire economy needs to go to zero emissions by 2050. The Commissioner agrees with that, I even see him nodding. So that means that all the sectors need to deliver because not every sector can go to zero emissions. To my EPP friends I would say that one of these is agriculture. Once we are going to discuss agriculture I know pretty well the agriculture sector will say, not us. Okay, then we need to do it where it can be done. And the transport sector, within the transport sector, CO2 standards on cars is the most cost—efficient measure we can take now. So we should do that, and even the Commission did some studies on it. One of them was a study which showed that if you go to higher targets, with these being 6% emission reduction annually, then you have the highest societal savings. By the way, the Commission forgot to publish this one right away – later on corrected it, but forgot to publish it. That can happen of course – pure coincidence. Then last week’s non—paper – even that paper showed that with the reduction target that the Committee on the Environment (ENVI) is proposing, 151 000 more jobs will be created. Even that politicised paper of the Commission showed more jobs when you go for higher ambition. So do we want the investments to go into the EU or out of the EU? That’s the decision. Hopefully we will support the ENVI proposal."
23,"I would like to thank the Commissioner for his reply. Ladies and gentlemen, Tomorrow we should vote for a 45 percent reduction in CO2 emissions from cars by 2030 and for a mandatory electricity quota with penalties. It is about stopping the ongoing warming of the climate that threatens the existence of all mankind. If we do nothing about global warming, it will soon cost millions of lives. I say to the German EPP Members: do not follow the car-driving Chancellor Merkel any longer and do not believe the lies of the car industry! The German government has blocked stricter CO2 rules for long enough, and quite specifically in the interests of the German automobile industry. Have you learned nothing from the diesel affair and the lip service of Chancellor Merkel? Many citizens are rightly outraged that this House too often acts in the interests of the corporations. And then you wonder why people out there are talking about a bought-up Brussels socialite? It is time for the EU to take a serious stance on climate action and stop being a mere tool of industry."
24,"Mr President, I recognise and fully support all initiatives that aim at improving air quality and life for European citizens. However, I strongly oppose the content of Ms Dalli’s report as, in order to combat climate change, it imposes extreme reductions in emissions standards for new cars and new commercial vehicles in Europe. I would like to remind colleagues that EU measures to reduce CO2 emissions, even if fully implemented, would have a trivial effect on the Earth’s climate, and even if they are implemented, it is unlikely that other major emitters such as China and India will follow suit. Several global studies have shown that the costs of implementing policies to mitigate climate change significantly exceed any possible benefit. For this, and several other scientific reasons, my colleagues and I refute anthropogenic climate change, and disagree with the current EU energy and climate policy."
25,"I would like to thank the Commissioner for his reply. I am amused myself to some extent when a Green person here in the House speaks of panic-mongering in connection with CO2 emissions and climate protection. I think the panic is more on your side. But let us return to the real politics. These objectives are unrealistic for me in terms of real policy. To some extent, we are also drifting. We are driven by some green people, but we are also driven by competition from outside Europe, which is taking a very massive hit on our car market. It is clear that we need to adapt our car market and, of course, car emissions to the challenges of the 21st century. We must create the conditions for this, create a fair framework. That's our job. The rest is up to the companies themselves. It's a bit shortsighted to commit to a battery initiative here. First, although electricity comes from the outlet, it is not produced there. You seem to be getting over it. And second, at the end of the day, there's going to be a lot of batteries that somebody has to dispose of somewhere. I don't know if you've thought about it, I don't think so. There are also many other alternative energy and propulsion options. In the end - I fear - the cost of all this nonsense will be borne by the consumer. In Austria, and especially in my home town of Graz, one in nine jobs is in the automotive sector. If we do not destroy it, we will not allow it to be destroyed, and we will not listen to the enemies of our own motor industry."
26,"Mr President, ladies and gentlemen, Commissioner, I think this debate is reaching the point of equilibrium. It started off on a not particularly balanced level, I was a rapporteur on this matter both in the Committee on Industry and in the Committee on Transport, and I must say that there were moments in the discussions which are not exactly theatrical and picturesque. I have had colleagues who, compared with the Commission's 30% proposal which we considered balanced, had the courage to propose a 75% target saying that perhaps it was still too low. Today we have reached a point where the future of clean mobility in Europe is finally at stake, together with the future of European industry. We must discuss as politicians not our obsessions but how to transfer this, which is a categorical environmental imperative, to the possible industrial challenge we face. We have an automobile industry which has made us great in the world and which employs so many of us in Europe, we must create the conditions for those jobs which will be changed because of the inevitable change in the mobility landscape to see a new outlet, for example, the subject of batteries has been discussed, so having a European battery industry will be a major challenge. These things are done with a proper, moderate and competent approach. Anyone who has to put himself forward in these discussions is doing the European Union harm. The European Union is a gradual process accompanied by intelligence and competence. I think your proposal goes in that direction."
27,"I would like to thank the Commissioner for his reply. The transport sector must become climate neutral by mid-century to meet the Paris Agreement targets. There is no doubt that there is a global competition for the cars of the future between Asia, America and Europe. And whoever offers the best technologies, whoever offers the best cars, they have the world markets, they have the markets of the future. I want us to continue to produce cars in Europe for years and decades to come, and I do not want us to have to import these cars from overseas. I believe that with this legislation we are shaping the future of transport in Europe. It will have different types of propulsion, it will be much more environmentally and climate friendly, and it will also provide new technologies and new jobs. Because we're always talking about electric cars, I'm sure that as an intermediate step, we'll also take hybrid and plug-in cars, and maybe in a shorter period of time, we'll also use car gas and natural gas, which can reduce greenhouse gas emissions. We Social Democrats are of course concerned about climate protection, but also about jobs. We have highly skilled jobs in Europe. It is also necessary to develop it further into new productions. And we also think about the companies that may need to make a radical change. That is why we have proposed a Just Transition Fund, so that we can help cities and regions, but also certain companies. (The speaker agrees to answer a question under the 'blue card' procedure under Rule 162 (8) of the Rules of Procedure)"
28,"blue-card question. – Thank you for accepting the question. You speak about changes being made to the automotive sector and state control and provision to ensure this happens. In your vision of the future, do you see a situation where the countries outside of the EU that may not apply the same rigorous policies as yourself to the climate – are still using petrol and diesel and so on – will EU manufacturers have a loophole where they can manufacture to export to them or will your state control of this clamp down on those exports?"
29,"Answer to a question on the 'blue card' procedure. I am here in the house of the chairman of the Chinese delegation. I have been watching for years what this great country is doing, which has really introduced quotas year by year and which wants to serve the world markets. It has already been mentioned here that South Korea and Japan have been offering hybrid cars for a long time, whereas the Europeans have still stuck to diesel. The legislation we are making here, Mr President, applies to all cars entering our market, all cars produced here, and of course also to imports. There is no preference for imports over cars made in Europe."
30,"I am glad, Mr President, that the rapporteur is showing greater ambition than the Commission has shown so far. I think it is really time for the transport sector to take responsibility and work substantially on CO2 reduction and that we also avoid the shifting of ambitions between, for example, the transport sector and the agricultural sector, of 'who is finally taking real responsibility?' So I think we really need to take a step forward to get rid of fossil fuels, and I also see that car manufacturers really want to do that. Car manufacturers are also thinking about the near future and there is a desire among car manufacturers to take a step towards zero-emission vehicles or at least vehicles that have significantly lower emissions than what we are talking about now. So I think we can also get car manufacturers on our side for that kind of shift and change. In short, Mr President, I support the rapporteur's efforts and I think it is good for all of us and also for air quality."
31,"Mr President, Commissioner, there are many open questions about this regulation. For example, that proposed emission reduction targets are often not accompanied by appropriate measures that could achieve those targets. What is the position of this proposal for a regulation in the whole network of European Union legislation on renewable energy and emission reductions? Will it be technologically possible to achieve these goals in such a short time - five or ten years? And finally, how much will it cost and how will it affect the competitiveness of the European economy? I support the compromise proposals of my ALDE group of 40% CO2 reduction and 35% share of low and zero emission vehicles, but I think the Commission proposal or the opinion of the Transport Committee with 30% reduction and 30% share of low and zero emission vehicles is also a step in the right direction."
32,"Mr President, I would like to thank you. The EU must be carbon neutral by 2050 to limit global warming to a maximum of 2 degrees. Road transport today accounts for 27% of emissions. At the same time, passenger car traffic is expected to increase by 42% by 2050. It is clear that if we are to live up to the Paris Agreement, we must vigorously reduce the emissions of the new cars entering the market. At the same time, however, conservative parties seem to believe that strong climate action is harming industry, but in reality the opposite is true. It's no coincidence that Tesla is based in California, which not only suffers from climate problems in the form of drought, but also has an ambitious climate policy that in turn fuels innovation and industrial development. In Sweden, for example, we provide long-term investment support for the conversion of the energy and industrial sectors. We think it's good for industrial development. Like every industry, the automotive industry needs clear policy objectives if we are to succeed, and it is policy that must guide and provide strong incentives for the green transition so that we get new electric cars to market. Now is the time - now is the time for proof - for the conservative parties who say the EU should act on climate to show that they are serious about keeping their promises. We can't keep dragging this thing along. Now is the time for the EU to lead."
